"municipality_name","municipality_code","loans_per_population_2022","loans_per_population_2021","loans_per_population_2020","loans_per_population_2019","loans_per_population_2018","loans_per_population_2017","loans_per_population_2016"
"Akaa","020",11.75,11.03,9.83,12.04,11.9,12.14,13.44
"Alajärvi","005",20.51,19.27,16.15,19.94,18.66,17.28,16.76
"Alavieska","009",17.25,16.32,16.29,20.4,20.69,22.47,22.05
"Alavus","010",14.77,14.94,13.26,16.47,15.97,16.39,15.31
"Asikkala","016",12.66,12.2,10.99,12.26,11.43,12.11,11.29
"Askola","018",8.23,7.88,7.51,9.42,10.14,10.14,11.94
"Aura","019",18.86,17.74,16.79,18.49,18.34,17.92,17.76
"Enonkoski","046",12.87,13.61,12.35,13.6,12.88,12.64,12.63
"Enontekiö","047",17.52,20.77,16.8,21.62,20,16.95,18.93
"Espoo","049",13.08,11.34,10.96,14.92,14.91,14.54,15.46
"Eura","050",17.43,16.7,14.15,17.9,17.2,15.59,9.68
"Eurajoki","051",14.39,14.12,13.51,15.86,15.88,16.5,17.6
"Evijärvi","052",23.97,23.26,21.13,23.75,18.53,14.47,20.42
"Forssa","061",11.76,11.54,11.35,13.61,13.42,13.79,14.53
"Haapajärvi","069",12.86,12.84,11.79,14.93,14.85,16.72,16.03
"Haapavesi","071",18.74,16.98,15.01,18.6,16.91,17.76,17.56
"Hailuoto","072",16.57,14.69,11.88,10.06,9.72,9.01,8.26
"Halsua","074",8.85,9.87,9.34,8.8,9.28,9.78,10.33
"Hamina","075",12.33,12,11.4,13.92,13.72,14.47,13.45
"Hankasalmi","077",13.41,13.53,12.24,13.7,14.13,13.91,13.22
"Hanko","078",11.07,10.96,10.42,11.99,10.52,11.96,12.19
"Harjavalta","079",15.24,15.91,14.23,17.09,16.74,17.46,18.2
"Hartola","081",12.55,13.58,11.38,14.18,11.19,14.18,13.12
"Hattula","082",12.16,12.42,12.68,13.87,12.42,12.63,12.92
"Hausjärvi","086",10.88,11.04,9.36,10.06,9.46,9.93,11.32
"Heinola","111",12.53,12.97,11.99,13.53,12.95,13.85,13.17
"Heinävesi","090",11.72,12.33,12.48,18.36,15.17,15.47,16.79
"Helsinki","091",13.31,11.95,11.14,14.52,13.96,14.08,14.78
"Hirvensalmi","097",11.89,10.67,9.81,11.96,11.56,12.37,12.8
"Hollola","098",11.53,11.56,10.49,11.73,11.16,12.31,11.06
"Honkajoki","099",13.76,12.56,13.62,14.67,14.68,14.25,12.64
"Huittinen","102",15.88,15.55,13.27,16.39,16.4,16.46,17.14
"Humppila","103",9.56,8.45,8.41,9.68,10.48,10.9,11.4
"Hyrynsalmi","105",6.91,7.67,6.81,8.19,7.89,7.54,8.58
"Hyvinkää","106",12.95,11.13,11.71,14.28,14.18,14.57,16.17
"Hämeenkyrö","108",11.42,10.97,10.23,13.91,14.39,15.28,14.6
"Hämeenlinna","109",15.49,15,11.93,15.54,15.46,15.5,16.22
